nom;type d'activité;types de public;exposition;réservation;nature de client;type de client;catégorie de client;niveau de groupe;langue du groupe;thème;date;heure;durée;fin;en vente;nature de la séance;salles;langues de l'activite;matériels;places ouvertes;places vendues;places disponibles;overbooking;overbooking vendu;overbooking disponible;taux de remplissage;Montant;temps de préparation;temps de rangement;temps annexe total;Types de public (croisement col C et F);AGE ( Type de client ? Col H);Niveau groupe / détail âge (col I);langue;TARIF;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 1428;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, January 3, 2025;14:00;90;15:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;;0;20;0;0;0;0;0;330.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX 11-18 ANS;VISITE GUIDÉE;;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 199;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Friday, January 3, 2025;10:30;120;12:30;1;G;NEF - EXPO;;;0;20;0;0;0;0;0;350.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
VISITE GUIDÉE - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;;;;;;;;Friday, January 3, 2025;11:30;90;13:00;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;Français;Expo - Audiophone 1;19;19;0;1;0;1;100;584.00;0;0;0;INDIVIDUELS;ADULTES;;Français;;
MON PETIT OURS DE POCHE;VISITE-ATELIER;4-6 ANS, 7-10 ANS, EN FAMILLE;MON OURS EN PELUCHE;;;;;;;;Friday, January 3, 2025;10:30;120;12:30;1;A;N3 - Rohan - Expo, N4 - Atelier Tuileries 1;Français;;16;16;0;2;0;2;100;384.00;0;0;0;INDIVIDUELS;JEUNES/FAMILLES;4-6 ANS, 7-10 ANS, EN FAMILLE;Français;;
VA - À LA BELLE FOURCHETTE !;VISITE-ATELIER;4-6 ANS, 7-10 ANS, EN FAMILLE;CHRISTOFLE, UNE BRILLANTE HISTOIRE;;;;;;;;Friday, January 3, 2025;14:30;120;16:30;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo, N4 - Atelier Tuileries 1;Français;;19;19;0;0;0;0;100;456.00;0;0;0;INDIVIDUELS;JEUNES/FAMILLES;4-6 ANS, 7-10 ANS, EN FAMILLE;Français;;
VISITE GUIDÉE - MON OURS EN PELUCHE - 1H30;VISITE GUIDÉE;ADULTES (15 ANS ET +);MON OURS EN PELUCHE;;;;;;;;Saturday, January 4, 2025;11:30;90;13:00;1;A;;Français;Expo - Audiophone 1;15;16;0;2;1;1;106;476.00;0;0;0;INDIVIDUELS;ADULTES;;Français;;
VISITE GUIDÉE - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;;;;;;;;Saturday, January 4, 2025;14:00;90;15:30;1;A;;Français;Expo - Audiophone 1;20;20;0;0;0;0;100;580.00;0;0;0;INDIVIDUELS;ADULTES;;Français;;
VG - 1H30 - LA MODE EN MODÈLES;VISITE GUIDÉE;ADULTES (15 ANS ET +);LA MODE EN MODÈLES;;;;;;;;Saturday, January 4, 2025;16:00;90;17:30;1;A;N2 - Rohan - Expo;Français;Expo - Audiophone 1;20;20;0;0;0;0;100;620.00;0;0;0;INDIVIDUELS;ADULTES;;Français;;
VL - CHRISTOFLE (ADULTES ET FAMILLES AVEC CONFERENCIER EXTERIEUR);GROUPE EN VISITE LIBRE;GROUPES;CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 2471;Individuel;Individuels;;01_Petite section;Français;;Saturday, January 4, 2025;13:15;90;14:45;1;A;N1 - Rohan - Expo, N2 - Rohan - Expo;;Expo - Audiophone 2;20;7;13;0;0;0;35;110.00;0;0;0;GROUPES;;export tickpro;Français;CS/Handicap;
VG - 1H30 - LA MODE EN MODÈLES;VISITE GUIDÉE;ADULTES (15 ANS ET +);LA MODE EN MODÈLES;Dossier 2655;Organisme;DG - Service Communication;Groupe Adulte - Interne;30_Interne;Français;;Tuesday, January 7, 2025;09:30;90;11:00;1;G;;;;0;20;0;0;0;0;0;0;0;0;0;GROUPES;ADULTES;30_Interne;Français;ADULTE GRATUIT;
VG - 1H30 - CHRISTOFLE;VISITE GUIDÉE;ADULTES (15 ANS ET +);CHRISTOFLE, UNE BRILLANTE HISTOIRE;Dossier 201;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;30_Interne;Français;;Tuesday, January 7, 2025;13:00;90;14:30;1;G;N1 - Rohan - Expo, N2 - Rohan - Expo;;;0;20;0;0;0;0;0;330.00;0;0;0;GROUPES;ADULTES;30_Interne;Français;ADULTE GRATUIT;
VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;VISITE GUIDÉE;ADULTES (15 ANS ET +);L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 2004;Individuel;Individuels;;31_Adultes;Français;;Tuesday, January 7, 2025;19:15;90;20:45;1;G;NEF - EXPO;;Expo - Audiophone 1;0;5;0;0;0;0;0;130.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
VG - 2H - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX 11-18 ANS;VISITE GUIDÉE;;L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX;Dossier 200;Organisme;Associations Adultes - Autre;Groupe Adulte - Associations Adultes;31_Adultes;Français;;Tuesday, January 7, 2025;10:00;120;12:00;1;G;;;;0;20;0;0;0;0;0;350.00;0;0;0;GROUPES;ADULTES;31_Adultes;Français;;
