Date De Création,Heure D'Opération (opération),Numéro (opération),Nom (activité),Nom (exposition),Date De Séance (seance),Heure De Début (seance),Nom,Code Postal,Ville,Pays,Numéro Du Billet,Type De Billet,Tarif,Pu Net Ttc,Quantité,État,Code-Barres Du Billet
19/11/2025,12:57,2025010042441,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",19/11/2025,16:30,1,W1K3NB,Londres,Royaume-Uni,"2,02550004090001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE LETR 1h30,180.00,1.00,Valide,"2,0251119000001E+044"
08/10/2025,11:55,2025010033219,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",08/10/2025,12:00,2,75002,Paris,France,"2,02550004030002E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,160.00,1.00,Valide,"2,0251008000001E+044"
22/01/2025,11:35,2025010003384,VG - 1H30 - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",22/01/2025,11:45,2,75002,Paris,France,"2,0255000403E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02501220000013E+044"
04/10/2024,10:53,2024011001190,VG - 1H30 - LA NAISSANCE DES GRANDS MAGASINS (archive),LA NAISSANCE DES GRANDS MAGASINS,04/10/2024,11:00,3,,,France,2024000403000033,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02410040000013E+043"
04/12/2025,12:03,2025010045942,VG - 1H - 1925-2025. CENT ANS D'ART DECO,1925-2025. CENT ANS D'ART DÉCO,04/12/2025,12:15,4,75008,Paris,France,"2,0255000112E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h,130.00,1.00,Valide,"2,0251204000001E+044"
26/06/2025,11:44,2025003018574,VG - 1H30 - PAUL POIRET,"PAUL POIRET, LA MODE EST UNE FÊTE",26/06/2025,12:15,4,75008,Paris,France,"2,02550004030002E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,0250626000001E+044"
31/01/2025,11:33,2025010004888,VG - 1H30 - CHRISTOFLE (archive),"CHRISTOFLE, UNE BRILLANTE HISTOIRE",31/01/2025,12:00,4,75008,Paris,France,"2,0255000403E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02501310000013E+044"
05/10/2024,09:51,2024010003247,VG - 1H30 - LA NAISSANCE DES GRANDS MAGASINS (archive),LA NAISSANCE DES GRANDS MAGASINS,05/10/2024,10:00,5,92260,Fontenay-aux-Roses,France,2024000403000038,"Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02410050000013E+043"
19/02/2025,13:57,2025011004456,VA - LIKE ME LIKE MOI (archive),"L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",19/02/2025,14:00,6,91600,Savigny-sur-Orge,France,"2,0255000105E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT ATELIER 2h CHAMP SOCIAL,120.00,1.00,Valide,"2,02502190000013E+044"
06/12/2024,12:07,2024011006592,"VG - 1H30 - L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX (archive)","L'INTIME, DE LA CHAMBRE AUX RÉSEAUX SOCIAUX",06/12/2024,12:30,7,75001,Paris,France,"2,02450004030001E+016","Forfait (0 place, 0 visiteur)",Plein - FORFAIT VISITE GUIDEE ADULTE 1h30,130.00,1.00,Valide,"2,02412060000013E+044"
18/05/2025,12:01,2025002063753,VL - 1925-2025. CENT ANS D'ART DÉCO (AVEC CONFERENCIER EXTERIEUR),1925-2025. CENT ANS D'ART DÉCO,21/11/2025,12:45,8,75017,Paris,France,"2,02550007010003E+016","Forfait (0 place, 0 visiteur)",Plein - DROIT DE RESERVATION GUIDE CONFÉRENCIER,35.00,1.00,Valide,"2,0251121000001E+044"
