musee,idMuseofile,museeLabel,villeLabel,description,labelTourismeHandicap,accessibilitePMRLabel
http://www.wikidata.org/entity/Q3329811,M1040,musée de l'automobile Henri-Malartre,Rochetaillée-sur-Saône,musée français,,
http://www.wikidata.org/entity/Q3329826,M0509,Féru des Sciences,Jarville-la-Malgrange,"musée du fer, des sciences et des technologies situé à Jarville-la-Malgrange, en France",,
http://www.wikidata.org/entity/Q3329835,M0650,musée de l'hôtel Sandelin,Saint-Omer,musée des beaux-arts à Saint-Omer (Pas-de-Calais),,
http://www.wikidata.org/entity/Q3329838,M0537,musée de l'image,Épinal,musée à Epinal,,
http://www.wikidata.org/entity/Q3329839,M0037,musée de l'impression sur étoffes,Mulhouse,bâtiment à Mulhouse,,
http://www.wikidata.org/entity/Q3329853,M0837,musée de l'Échevinage de Saintes,Saintes,musée français,,
http://www.wikidata.org/entity/Q3329117,M0188,musée Colette,Saint-Sauveur-en-Puisaye,musée français,,
http://www.wikidata.org/entity/Q3329125,M0116,musée Crozatier,Le Puy-en-Velay,"musée du Puy-en-Velay, France",,
http://www.wikidata.org/entity/Q3329134,M0039,musée EDF Electropolis,Mulhouse,musée français,,
http://www.wikidata.org/entity/Q3329132,M0838,musée Dupuy-Mestreau,Saintes,musée français,,
http://www.wikidata.org/entity/Q3329153,M0572,musée Eugène-Camoreyt de Lectoure,Lectoure,musée français,,
http://www.wikidata.org/entity/Q3329157,M0551,musée Fenaille,Rodez,musée français d'histoire et d'archéologie à Rodez,,
http://www.wikidata.org/entity/Q565125,M0014,musée alsacien,Strasbourg,musée situé à Strasbourg,,
http://www.wikidata.org/entity/Q611062,M1171,musée de la Grande Guerre du pays de Meaux,Meaux,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q648080,M0127,musée Mandet,Riom,musée français,,
http://www.wikidata.org/entity/Q657657,M0534,musée de la Tour aux Puces,Thionville,musée français,,
http://www.wikidata.org/entity/Q670268,M7008,musée de l'Homme,16e arrondissement de Paris,musée français,,
http://www.wikidata.org/entity/Q754053,M0895,musée-atelier de Paul Cézanne,Aix-en-Provence,musée d'Aix-en-Provence,,
http://www.wikidata.org/entity/Q3329163,M0911,musée Frédéric-Mistral,Maillane,musée à Maillane (Bouches-du-Rhône),,
http://www.wikidata.org/entity/Q3329160,M0734,musée Flaubert et d'Histoire de la médecine,Rouen,musée français,,
http://www.wikidata.org/entity/Q3329167,M0805,musée Gallé-Juillet,Creil,musée français,,
http://www.wikidata.org/entity/Q3329165,M0360,musée Frédéric-Japy,Beaucourt,musée français,,
http://www.wikidata.org/entity/Q3329168,M0308,musée Garinet,Châlons-en-Champagne,musée français,,
http://www.wikidata.org/entity/Q3330511,M0506,musée départemental d'art contemporain de Rochechouart,Rochechouart,musée français,,
http://www.wikidata.org/entity/Q3330508,M0968,musée départemental d'Histoire de la Résistance et de la Déportation de l'Ain et du Haut-Jura,Nantua,musée français,,
http://www.wikidata.org/entity/Q3330509,M0407,musée départemental Albert-Kahn,Boulogne-Billancourt,musée français,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3330512,M0700,musée départemental d'art religieux de Sées,Sées,musée français,,
http://www.wikidata.org/entity/Q3330516,M0354,musée départemental d'arts et traditions populaires,Champlitte,musée français,,
http://www.wikidata.org/entity/Q75566,M0640,musée des Beaux-Arts d'Arras,Arras,musée français à Arras,,
http://www.wikidata.org/entity/Q197482,M0218,château des Rochers-Sévigné,Vitré,château fort français situé à Vitré,,
http://www.wikidata.org/entity/Q199335,M1093,musée de la Faïence,Marseille,musée français (Marseille),,
http://www.wikidata.org/entity/Q273653,M0048,écomusée d'Alsace,Ungersheim,musée français,,
http://www.wikidata.org/entity/Q427665,M0540,musée Charles-de-Bruyères,Remiremont,musée français,,
http://www.wikidata.org/entity/Q547789,M1102,maison de Balzac,16e arrondissement de Paris,musée dédié à la mémoire d'Honoré de Balzac,,
http://www.wikidata.org/entity/Q3329170,M0376,musée Gatien-Bonnet,Lagny-sur-Marne,musée français,,
http://www.wikidata.org/entity/Q3329194,M0845,musée Henri-Barré,Thouars,musée français,,
http://www.wikidata.org/entity/Q3329193,M1001,musée Hector-Berlioz,La Côte-Saint-André,musée français,,
http://www.wikidata.org/entity/Q3329202,M0830,musée Hèbre de Saint-Clément,Rochefort,musée historique français à Rochefort,Tourisme et Handicap,
http://www.wikidata.org/entity/Q3329215,M0021,musée Jean-Frédéric-Oberlin,Waldersbach,musée français,,
http://www.wikidata.org/entity/Q3329212,M0653,musée Jean-Charles-Cazin de Samer,Samer,musée français,,
http://www.wikidata.org/entity/Q3329858,M0417,musée du Domaine départemental de Sceaux,Sceaux,"musée situé à Sceaux, en France",,
